,okt_noun,okt_verb
60,"['월일', '시', '월일', '시', '기준', '대한민국', '코로나', '바이러스', '현황', '오늘', '사망자', '명', '재원', '위중', '증', '명', '신규', '입원', '명', '오늘', '확', '진자', '명', '드', '코로나', '단계', '일상', '회복', '코로나', '바이러스', '감염증', '국내', '확', '진자']",[]
61,"['난', '백신', '패스', '코', '준비']","['가능하지만', '기꺼이', '찔릴', '있었어']"
62,"['위드', '코로나', '빠']",['이빠이']
63,"['패스', '관', '팝콘', '즈']",[]
64,"['엥스우파콘', '함성', '소리', '뭐임', '위드', '코로나', '도', '건', '공연', '이제야', '슬슬', '그', '뒤', '공연']","['아무리', '지킬', '지켜야지', '풀리는데', '있는데']"
65,"['상황', '위드', '코로나', '오르콘', '취소', '거']","['이런', '이러다', '다', '되는', '아니냐고']"
66,"['거', '알', '위드', '코로나', '거', '아닌갛', '위드', '코로나', '라면', '왜', '위드', '데', '위즈', '위드', '위드', '고요', '위드']","['이럴', '이래']"
67,"['위드', '코로나', '이제', '유흥', '젖', '때', '군', '청주', '오송', '세종', '마사지', '노래방', '페이', '남']",[]
68,"['위드', '코로나', '훠훠훠']","['이니가', '해냈다']"
69,"['오늘', '헬스장', '백신', '패스', '등록', '벌써', '접종', '달이', '점점', '발', '시기', '더', '더욱', '그냥', '달', '부스트', '샷', '안']","['하면서', '보니', '지났어', '떨어지는', '조심해야지', '맞게', '해주면', '되니']"
70,"['조', '개', '짜증', '나', '베놈', '예매', '해', '놨는데', '백신', '패스', '지라', '못']","['차까', '가']"
71,"['월일', '시', '월일', '시', '기준', '대한민국', '코로나', '바이러스', '현황', '오늘', '사망자', '명', '재원', '위중', '증', '명', '신규', '입원', '명', '오늘', '확', '진자', '명', '드', '코로나', '단계', '일상', '회복', '코로나', '바이러스', '감염증', '국내', '확', '진자']",[]
72,"['위드', '코로나', '위드', '양', '솔', '콘']",['내놔']
73,"['어제', '개봉', '규', '포티', '수', '백신', '패스', '관', '이', '시국', '거길']","['해서', '드디어', '보러', '가려', '했더니만', '뽑을', '있는', '씻지', '비는', '있어', '돌아', '버리겠네', '어떻게', '가']"
74,"['지금', '거', '게', '팬', '얼굴', '보고', '위드', '코로나', '대면', '거지', '진짜', '이', '팬', '사랑', '진심', '사랑']","['싶어서', '기다리다가', '잡은', '미친', '너무', '해']"
75,"['위드', '코로나', '거', '모든', '회사', '지금', '회식', '열풍']",['괜찮은']
76,"['위드', '코로나', '지금', '말', '난리']",['하지']
77,"['신호', '왼쪽', '백신', '패스', '반대', '고', '확성기', '틀', '오른쪽', '오징어', '게임', '바가지', '달고나', '팔고', '뒤', '예수', '천국', '불신', '지옥', '연설', '이', '현장', '하나', '대한민국', '사회', '축소', '판']","['기다리는데', '다', '있고', '하고', '있는', '같다']"
78,"['위드', '코로', '머', '그냥', '학교']","['나고', '기실']"
79,"['천', '위드', '코로나']","['되면', '그만한다고', '하지', '않음']"
80,"['사실', '전달', '것', '사실', '것', '걸', '맥락', '예방접종', '효력', '거', '위드', '코로나', '결정', '거', '건', '좀', '생각', '듯']","['하는', '받아들이는', '중요하기는', '없는', '아니냐라든지', '너무', '멍청하지', '않냐라고', '하는', '위험한']"
81,"['어쨌든', '정부', '공식', '입장', '대략', '아래', '기사', '위드', '코로나', '평가', '또', '연기', '추가', '접종', '방역', '패스', '검토', '안', '해', '뉴스', '위드', '코로나', '위험', '평가', '기준', '일', '공개', '다음', '주', '평가', '결과', '발표', '수도권', '중환자', '병상', '률', '육박', '병상', '확보', '비상']",['같습니다']
82,"['화순', '소식', '단계', '일상', '회복', '문화', '예술', '행사', '연합뉴스']",['잇따라']
83,"['광란', '위드', '코로나', '파티']",[]
84,"['이제', '위드', '코로나', '시작', '살', '함']","['그래도', '해서', '그나마', '하긴']"
85,"['인천', '시장', '단계', '일상', '회복', '이전', '확', '진자', '증가', '시장', '저', '똑바로', '소리', '이후', '말', '안', '게', '실질', '중증', '환자', '비중', '지자체', '크게', '수', '수도']","['뭐랄까', '하면', '하겠습니다', '했는데', '하는', '높아져서', '할', '있는', '없을', '있는데']"
86,"['그', '확', '진자', '일정', '수', '다시', '위드', '코로나', '해제', '나', '전면', '등교', '확', '진자', '것']","['넘으면', '된대', '싫은데', '나오는', '싫음']"
87,"['월일', '시', '월일', '시', '기준', '대한민국', '코로나', '바이러스', '현황', '오늘', '사망자', '명', '재원', '위중', '증', '명', '신규', '입원', '명', '오늘', '확', '진자', '명', '드', '코로나', '단계', '일상', '회복', '코로나', '바이러스', '감염증', '국내', '확', '진자']",[]
88,"['오후', '시', '전국', '신규', '확진', '명시', '명', '돌파', '다음', '뉴스', '단계', '일상', '회복', '이후', '오후', '시', '첫', '명대']",[]
89,"['문화', '체육', '대전광역시', '단계', '일상', '회복', '지역', '축제', '기본']",['문']
90,"['운동', '헬스장', '갈라', '게', '백신', '패스', '때문', '출입', '안', '주더']","['하러', '시켜']"
91,"['월일', '시', '월일', '시', '기준', '대한민국', '코로나', '바이러스', '현황', '오늘', '사망자', '명', '재원', '위중', '증', '명', '신규', '입원', '명', '오늘', '확', '진자', '명', '드', '코로나', '단계', '일상', '회복', '코로나', '바이러스', '감염증', '국내', '확', '진자']",[]
92,"['월일', '시', '월일', '시', '기준', '대한민국', '코로나', '바이러스', '현황', '오늘', '사망자', '명', '재원', '위중', '증', '명', '신규', '입원', '명', '오늘', '확', '진자', '명', '드', '코로나', '단계', '일상', '회복', '코로나', '바이러스', '감염증', '국내', '확', '진자']",[]
93,"['그냥', '좆', '뭐', '위드', '코로나', '코로나', '위드', '코로나', '거임']","['됐지', '걸려서', '함께', '하려고']"
94,"['위드', '코로나', '시작', '진짜', '식당']","['하면서', '느끼는', '시끄럽다']"
95,"['코로나', '경북', '관리', '현황', '알림', '시', '기준', '경북', '총', '확', '진자', '명', '전일', '대비', '명', '발생', '위드', '코로나', '일상', '회복', '단계', '다중', '이용', '시설', '시간', '영업', '가능', '유흥', '시설', '제외', '인구', '명', '이하', '개', '군', '예외', '사적', '모임', '접종', '여부', '명', '허용']",['상관없이']
96,"['백신', '패스', '반대', '백만', '온라인', '서명', '운동', '국민', '서명', '광장', '백신', '패스', '반대']",['합니다']
97,"['위드', '코로나', '시행', '경기', '사망자', '급증', '월', '명', '사망', '월', '출처', '뉴스', '네이버', '뉴스']",['주당']
98,"['틱틱붐', '극장', '봄', '자리', '데', '패스', '관', '걱정', '거리', '기관', '취소표', '거', '예매']","['드디어', '남는', '없어서', '했는데', '풀린', '급하게', '해서', '보러', '갔음']"
99,"['여기', '백신', '패스', '관인', '가요']",[]
100,"['아주', '위드', '코로나', '차', '개막', '혀', '진짜']","['됐다고', '다', '들', '어딜', '그렇게', '나다니는지']"
101,"['추가', '티켓', '오픈', '년', '월', '일수', '오후', '고로', '나', '단계', '일상', '회복', '거리', '두기', '조정', '차', '오픈', '기간', '내의', '추가', '좌석', '오픈', '인터파크', '티켓', '예매', '시스템', '정비', '위해', '월', '일수', '오전', '시', '오후', '시', '일시', '판매', '중단', '예매', '인터파크']","['따라', '합니다', '됩니다']"
102,"['전남', '경찰', '단계', '일상', '회복', '시행', '대비', '및', '연말', '음주운전', '집중', '단속', '실시', '음주운전', '사고', '예방', '위', '내년', '월', '말', '실시']",['하여']
103,"['년', '월', '감염', '추적', '안', '해', '마스크', '안', '백신', '패스', '안']","['써도', '되고', '하고']"
104,"['집회', '주최', '인증', '백신', '패스', '확인', '안', '방역', '법', '위반', '처벌']","['했는지', '했으면']"
105,"['우리나라', '월', '위드', '코로나', '답시고', '방역', '칙', '완화', '그', '결과', '하루', '확', '진자', '명', '돌파', '참으로', '결과']","['벌였었다', '뻔하고', '답답한', '벌어졌다']"
106,"['위드', '코로나', '공식', '용어', '자제', '그대로', '위드', '코로나', '어감']","['아니', '근데', '아니라고', '들', '하는데', '다', '들', '쓰네', '쉬워서', '그런', '건지']"
107,"['단계', '거리', '두기', '완화', '달라', '호소', '굳이', '위드', '코로나', '어감', '이', '지랄', '나', '거지']","['불러', '해도', '하니까', '바뀌면서']"
108,"['대박', '라인업', '뮤', '전', '저', '첫', '오프', '뮤로', '앞', '기회', '여러', '번의', '시상식', '모든', '게', '코로나', '시국', '이후', '현', '위드', '코로나', '시상식', '얼마나', '모든', '게', '요', '올해', '뮤', '레전드', '무대', '라인업', '레전드', '거']","['들고', '왔을', '멜', '멜', '가고', '싶어요', '많고', '있겠지만', '안되었던', '멋질까', '믿습니다', '멜', '가져올']"
109,"['용산', '영등포', '과', '구로', '패스', '관', '포스터', '용산', '시가', '제일', '베스', '저기', '걸', '못', '보고']","['근데', '죄다', '불안하네요', '쓸', '튼데', '와', '빠지는', '있어요']"
110,"['위드', '코로나', '시행', '제주도', '항공권', '요금', '제주', '여행', '제주항공', '위드', '코로나', '네이버', '카페']",['올랐네요']
111,"['위드', '코로나', '거', '서울', '경기', '천육백', '명', '뭐']","['했는데', '너무', '함께', '하는', '아니냐']"
112,"['무예', '신문', '무예', '신문', '무예', '만평', '실내', '체육', '시설', '백신', '패스', '적용', '환불', '대란']",[]
113,"['생각', '못', '위드', '코로나', '어쩌']","['하고', '했나']"
114,"['위드', '코로나', '어쩌', '국민', '당', '질', '전면', '등교', '연말', '모임', '코로나', '방역', '위험', '요인', '출처', '한국', '경제', '네이버', '뉴스']",['고라면서']
115,"['위드', '코로나', '그냥', '런가']","['아님', '책임지기', '싫어서']"
116,"['해남', '미남', '축제', '위드', '코로나', '선도', '축제']","['안전하게', '열려']"
117,"['천은', '교수', '위기', '정부', '단계', '일상', '회복', '일부분', '중단', '수도', '상황', '수', '고심', '단계', '강조']","['미', '엄청난', '할', '있는', '올', '있어서', '해야', '하는', '했다']"
118,"['년', '번', '부동산', '투자', '기회', '택시', '글로벌', '대체', '투자', '콘퍼런스', '주택', '재고', '절대', '부족', '가격', '임대료', '상승세', '연간', '공급', '수요', '못', '오피스', '빌딩', '물류', '센터', '인기', '스웨덴', '등', '북유럽', '인프라', '유망', '위드', '코로나', '유럽', '호텔', '관심']","['한', '올', '있다', '오르고', '따라가']"
119,"['감기', '처럼', '코로나', '병원', '처방', '약', '약국', '위드', '코로나', '자가', '격리', '기보', '백신', '효과', '얼마', '그', '역량', '체크', '코로나', '더', '국가', '관리', '통제', '규제', '독감', '자기', '돈', '백신', '감염', '대로', '걸', '막', '수', '거']","['없이', '먹는', '나올', '꺼지나', '그러니깐', '시키', '하지', '내고', '맞고', '되어', '아프면', '아픈', '죽고', '죽는', '없는', '본다']"
120,"['머', '위드', '코로나', '전', '버스', '타도', '위드', '코로나', '발', '정도', '버스', '위드', '코로나', '건가', '제발', '소집해제', '버스', '타고', '퇴근', '코로', '나', '땜', '서서', '퇴근']","['되기', '안아서', '갔는데', '되고', '안기는커녕', '디딜', '힘드네', '다', '들', '돼서', '나오는', '안아서', '싶다', '맨날']"
121,"['뭐', '씨잘', '백신', '패스', '관운', '취식', '일찍', '처']","['가능해', '말하셈']"
122,"['이번', '뉴이스트', '콘서트', '본인', '확인', '코로나', '시국', '백신', '패스', '확인', '공연장', '누가', '동선', '체크', '때문', '것', '그냥', '취소', '표', '일반', '예매', '게', '듯', '이번', '진짜', '양도', '표', '의미']","['철저하게', '합니다', '아무래도', '들어가는지', '그런', '같아요', '노리는', '좋을', '합니다', '없어요']"
123,"['저기', '사람', '보', '위드', '코로나', '실감']","['모여있는', '너무', '난다', '떨려', '어떡해']"
124,"['위드', '코로나', '중인', '핀란드', '최근', '일', '코로나', '일일', '신규', '확', '진자', '수', '매번', '비교', '대한민국', '은', '인구', '수나', '인구', '밀도', '고려', '진짜', '선방', '중인', '것', '문재인', '대통령', '정은경', '청장', '그', '외', '모든', '방역', '일꾼', '감사']","['하면', '입니다', '드립니다']"
125,"['위드', '코로나', '단계', '일상', '회복', '대감', '소비자', '심리', '지수', '세', '달', '상승', '물가', '생활', '형편', '전망', '오히려', '전월', '포인트']","['했다', '치솟는', '낮아졌다']"
126,"['김', '총리', '방역', '상황', '악화', '내일', '단계', '일상', '회복', '방향', '결정', '다음', '뉴스']",['급속히']
127,"['장르', '로맨스', '예매', '나', '백신', '패스', '관', '이따', '가도', '나', '혼자', '거', '공짜', '쿠폰', '팝콘', '또', '혼자', '거', '은근', '좀', '나', '사람', '위해', '영사기', '하자', '냉']","['아직', '없어', '보는', '먹을', '잇', '근데', '보는', '히', '그래', '한', '돌려야']"
